feature 1,feature 2,feature 3,feature 6,feature 7
274.17108154296875,-591.251708984375,12277.3173828125,0.02784302458167076,0.0020872338209301233
339.7124328613281,-596.3095703125,13379.7646484375,0.033647798001766205,0.0043320306576788425
302.5445251464844,-595.6021728515625,11657.736328125,0.02338540181517601,0.0012504146434366703
345.4692077636719,-546.3743896484375,9220.18359375,0.051932305097579956,0.020890582352876663
310.0621643066406,-586.0681762695312,11761.9921875,0.023735323920845985,0.0010371654061600566
260.36444091796875,-598.1860961914062,8159.81640625,0.01910313032567501,0.0007751561352051795
307.1578063964844,-586.7493896484375,12515.970703125,0.025697723031044006,0.0016063251532614231
311.7887878417969,-593.4935913085938,14770.5400390625,0.024736544117331505,0.002159515395760536
254.35568237304688,-607.4619750976562,5965.04248046875,0.015109234489500523,0.0006331525510177016
346.4055480957031,-571.8643798828125,13512.703125,0.04256946220993996,0.003814132185652852
375.60394287109375,-589.5492553710938,11805.859375,0.037291210144758224,0.0028569886926561594
363.8548889160156,-572.107177734375,12817.3662109375,0.041695043444633484,0.003913035150617361
375.1143798828125,-568.5671997070312,12909.6416015625,0.041658803820610046,0.0037943811621516943
417.5700378417969,-560.431640625,12916.8955078125,0.05060112476348877,0.007402047514915466
369.4124450683594,-552.3541259765625,13051.439453125,0.04517269507050514,0.004767408594489098
331.1302490234375,-551.7735595703125,14124.087890625,0.049321629106998444,0.005004002247005701
391.7705078125,-573.37939453125,13800.6953125,0.03859519213438034,0.004292752128094435
345.0635681152344,-554.102783203125,12198.37890625,0.04530555382370949,0.004795025568455458
216.9270477294922,-601.7247924804688,6889.3662109375,0.024584565311670303,0.001280042459256947
273.8414306640625,-581.7960815429688,8390.7412109375,0.03437105938792229,0.0031317921821027994
222.51318359375,-604.27978515625,7280.16162109375,0.0224108025431633,0.001057081506587565
264.2671813964844,-608.8218994140625,8957.7900390625,0.023151272907853127,0.0010170221794396639
210.4581756591797,-641.3455200195312,5080.982421875,0.013764472678303719,0.000390662724385038
166.90846252441406,-624.9786987304688,4064.4013671875,0.012271310202777386,0.00033433508360758424
230.69967651367188,-606.0352783203125,7273.7880859375,0.01982596144080162,0.0006800541887059808
256.7420654296875,-602.8606567382812,7651.244140625,0.024573925882577896,0.0013304734602570534
289.679931640625,-590.9690551757812,10940.7890625,0.03423890098929405,0.0022839733865112066
373.1842346191406,-578.7346801757812,14145.73828125,0.043674834072589874,0.0044563221745193005
269.9560852050781,-612.2968139648438,7162.140625,0.026989156380295753,0.0016620176611468196
386.2895812988281,-589.9506225585938,14245.03125,0.04037522152066231,0.004127838183194399
351.5200500488281,-542.9434814453125,10821.798828125,0.054077692329883575,0.009071232751011848
397.6341857910156,-573.2908325195312,12233.51953125,0.047063373029232025,0.006012647412717342
381.52044677734375,-536.7169799804688,11459.65625,0.05756042152643204,0.009627369232475758
344.940673828125,-568.1441650390625,11497.3291015625,0.04275434836745262,0.0057550943456590176
364.1590881347656,-576.9820556640625,12340.10546875,0.046504829078912735,0.006154755130410194
382.866943359375,-551.2052612304688,10123.74609375,0.048734087496995926,0.00758599815890193
397.0949401855469,-567.7056274414062,13482.5673828125,0.04922761395573616,0.007284433580935001
359.5549621582031,-577.5911865234375,10566.1591796875,0.038707904517650604,0.004447908140718937
400.00933837890625,-578.3610229492188,10014.412109375,0.03627362847328186,0.0035795699805021286
389.8204040527344,-575.6360473632812,12785.349609375,0.04172639176249504,0.0049616433680057526
350.08551025390625,-577.8062133789062,11245.4658203125,0.04107227921485901,0.004824805073440075
368.5657653808594,-600.0878295898438,11845.3544921875,0.03478284552693367,0.0034914056304842234
472.4021301269531,-507.75482177734375,17885.23828125,0.08722834289073944,0.019664138555526733
906.1868896484375,-430.98687744140625,22786.794921875,0.17409947514533997,0.06443408876657486
894.8865356445312,-436.33575439453125,28674.6640625,0.14232724905014038,0.04499804601073265
819.6402587890625,-443.1571350097656,25664.650390625,0.12137801945209503,0.03362467139959335
945.052734375,-428.55487060546875,28240.23828125,0.13081690669059753,0.028415346518158913
965.5427856445312,-468.6402587890625,30528.080078125,0.1303509771823883,0.04559153690934181
921.5386962890625,-414.1657409667969,28957.919921875,0.14067304134368896,0.04510132595896721
1011.681640625,-507.3074951171875,21542.302734375,0.09749928116798401,0.014173207804560661
878.9331665039062,-467.2728576660156,24665.3671875,0.12542805075645447,0.04987366870045662
799.659423828125,-528.1602783203125,18615.603515625,0.07571513205766678,0.013639561831951141
786.8905029296875,-461.6836853027344,20932.94140625,0.1152137890458107,0.04436158761382103
798.2127685546875,-523.284912109375,17207.615234375,0.0758638009428978,0.00837321113795042
824.4868774414062,-490.5741882324219,20219.681640625,0.10334841907024384,0.04287676140666008
994.663818359375,-576.5977172851562,18892.60546875,0.05810082331299782,0.008767904713749886
796.9581298828125,-435.02197265625,21232.0,0.13476014137268066,0.05504725128412247
885.4699096679688,-575.8267822265625,19150.39453125,0.04899095743894577,0.005187218077480793
971.2007446289062,-599.7523193359375,14916.73828125,0.0444176085293293,0.0037557953037321568
977.36474609375,-646.8994140625,15067.6376953125,0.025373592972755432,0.0016260079573839903
780.1231689453125,-604.460205078125,15953.2080078125,0.03235150873661041,0.0018650540150702
108.30939483642578,-537.3780517578125,9062.712890625,0.013972857035696507,0.000249728123890236
109.75566101074219,-639.1014404296875,5609.7490234375,0.0034395158290863037,2.144872814824339e-05
82.33477783203125,-642.0375366210938,4487.220703125,0.0026816006284207106,1.3682876669918187e-05
88.61382293701172,-638.6544189453125,4419.896484375,0.0028442400507628918,1.3833700904797297e-05
64.59526824951172,-635.458984375,4072.85400390625,0.0028399419970810413,1.0086415386467706e-05
68.24696350097656,-639.86181640625,4213.3701171875,0.0024898264091461897,7.739172360743396e-06
82.10001373291016,-645.219482421875,6065.4677734375,0.002430384047329426,8.34822731121676e-06
88.08789825439453,-633.9985961914062,3883.575439453125,0.0035172479692846537,4.384116982691921e-05
319.056396484375,-576.2125244140625,9049.7109375,0.030174775049090385,0.002335029188543558
323.1040954589844,-597.0459594726562,14799.2529296875,0.0282658152282238,0.0020203657913953066
288.9085998535156,-578.3720703125,9923.5048828125,0.02854698896408081,0.0016872071428224444
277.0852355957031,-598.1732788085938,10326.7109375,0.025631941854953766,0.00168593879789114
361.5204772949219,-559.7615966796875,14462.154296875,0.0522695891559124,0.009092007763683796
314.585205078125,-586.736328125,12321.66796875,0.03506438434123993,0.003893211018294096
273.2622985839844,-605.8114624023438,9571.6630859375,0.02547210454940796,0.002226474229246378
